date,date subheader (grey),title,title subheader (grey),description
2027 Mar,3 days,"Pinnacles National Park, CA",,"Organized a 6-person sport climbing and car camping trip
Set up a 3-point trad anchor using cams and static rope
Climbing grades 5.8-5.10"
2026 Dec,2 days,"Yosemite National Park, CA",,"Sport climbing and hiking trip
2-pitch sport climb on grades 5.9-5.10"
2026 Dec,5 days,"Red Rock Canyon, NV",,"Sport climbing and car camping trip
Completed trad climb as follower"
2025 Nov,,PADI Open Water SCUBA Certification,,"Open water dives completed at San Carlos Beach, Monterey, CA
Instruction taught by Aqua Safaris, Santa Cruz, CA"
2025 Aug,1 day,"Point Dume, Malibu, CA",,"Organized 12-person top rope climbing trip for FilipinUp
Set up 2 top rope anchors with extensions, oversaw safety of belayers and climbers, and performed a rappel"
2025 Aug,4 days,"Yosemite National Park, CA",,"Sport climbing, hiking, and car camping trip
Completed a 3-pitch sport route"
2025 July,1 day,"Tahquitz, Idyllwild, CA",,"Completed Fingertrip, a 4-pitch trad climb, as follower"
2025 June,4 days,Sequioa and Kings Canyon National Park,,"Car camping trip
Completed 9 mile hike on Lakes Trail"
2025 Mar,4 days,"Red Rock Canyon, NV",,"4-person sport climbing and camping trip
Completed first sport multi-pitch route (2 pitches)
Completed trad climb as follower"
2025 Mar,1 day,"Joshua Tree National Park, CA",,15-person outdoor bouldering trip
2025 Feb,1 day,Outdoor Rope Climbing Workshop,"FilipinUp & Outward Bound, Joshua Tree National Park, CA","Learned to perform a tandem rappel
Reviewed top rope anchor setup"
2025 Jan,1 day,"Texas Canyon, Santa Clarita, CA",,Sport climbing trip on grades 5.7-5.10
2024 Dec,3 days,"Alabama Hills, Eastern Sierras, CA",,"Sport climbing and car camping trip
Climbing grades 5.8-5.10"
2024 Dec,,Rappelling Class,"Stronghold Climbing Gym, Los Angeles, CA",Learned to set up an extended rappel using a sling and ATC
2024 Sep,4 days,"Maple Canyon, UT",,4-person sport climbing and camping trip on conglomerate rock
2024 Aug,3 days,"Holcomb Valley, Big Bear, CA",,"8-person sport climbing and car camping trip"
2024 July,1 day,"Malibu Creek State Park, CA",,"Sport climbing
Climbing grades 5.7-5.9"
2024 June,1 day,Top Rope Anchors Class,"Saano Adventures, Stoney Point, Northridge, CA","Learned to build climbing anchors on bolted and natural anchors using slings, cordelette, webbing, and static rope"
2024 May,4 days,"Red Rock Canyon, NV",,"6-person sport climbing and car camping trip
Climbing grades 5.7-5.10"
2024 May,1 day,"Tramway, Mt. San Jacinto State Park, CA",,10-person outdoor bouldering trip
2024 May,1 day,"Point Dume, Malibu, CA",,Top rope climbing
2023 Nov,1 day,"Azóia, Parque Natural da Arrábida, Portugal",,"Top rope and sport climbing with a hired guide on limestone rock
Climbing grades 5.8-5.10"
2023 Oct,,Lead Climbing Class,"Sender One Climbing Gym, Los Angeles, CA",
2011-2017,,"Boy Scouts of America, Troop 388","Lomita, CA",
